HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,Category,Tot_ED_NmbVsts,EDStations,EDDXCount,PrimaryCareShortageArea,MentalHealthShortageArea,Visits_Per_Station,Bed_Size_Encoded,Burden_Status,KProto_Cluster,DBSCAN_Cluster,Visits_Volume_Bin,Capacity_Strain_Bin
Government,Urban,Non-Teaching,Active COVID-19,13261.0,12.0,349.0,No,No,1105.082412431323,3,Normal,4,0,Low Volume,Low Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,29420.666666666668,22.0,826.6666666666666,No,No,1337.302422438293,6,Normal,2,0,Medium Volume,Medium Strain
Nonprofit,Urban,Teaching,Active COVID-19,30782.5,40.0,1152.5,No,No,769.562307609423,4,Under-Burdened,3,0,Medium Volume,Low Strain
Government,Urban,Non-Teaching,Active COVID-19,65082.0,59.0,1765.0,No,No,1103.0845587992274,5,Normal,0,0,High Volume,Low Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,29479.0,30.0,925.3333333333334,No,No,982.633005788998,6,Under-Burdened,2,0,Medium Volume,Low Strain
Government,Urban,Non-Teaching,Active COVID-19,42180.666666666664,39.0,1870.6666666666667,No,No,1081.5552782336893,6,Normal,3,0,Medium Volume,Low Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,28620.0,17.0,1378.0,No,No,1683.5284214538697,4,Normal,2,0,Medium Volume,High Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,37801.333333333336,18.0,1024.6666666666667,No,No,2100.0729073669036,3,Overburdened,2,0,Medium Volume,High Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,31745.0,22.0,1018.0,No,No,1442.9538895664139,3,Normal,2,0,Medium Volume,Medium Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,110997.0,80.0,3679.0,No,No,1387.4623265672092,6,Normal,0,0,High Volume,Medium Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,66977.0,40.0,2032.6666666666667,No,No,1674.4245813938546,5,Normal,3,0,High Volume,High Strain
Nonprofit,Rural,Non-Teaching,Active COVID-19,24025.0,14.0,1008.0,Yes,No,1716.070202806998,2,Normal,1,0,Low Volume,High Strain
Nonprofit,Rural,Non-Teaching,Active COVID-19,9708.5,5.0,366.0,Yes,Yes,1941.696116607767,3,Overburdened,1,0,Low Volume,High Strain
Nonprofit,Rural,Non-Teaching,Active COVID-19,8570.0,14.0,333.5,Yes,Yes,612.1424198982716,3,Under-Burdened,1,0,Low Volume,Low Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,55911.0,49.0,1487.6666666666667,No,Yes,1141.0405834611054,5,Normal,3,0,High Volume,Low Strain
Nonprofit,Rural,Non-Teaching,Active COVID-19,10039.0,8.0,359.0,Yes,Yes,1254.8734314082108,1,Normal,1,0,Low Volume,Medium Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,41025.0,30.0,1491.3333333333333,No,No,1367.4995441668186,3,Normal,2,0,Medium Volume,Medium Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,46164.333333333336,44.0,1432.0,No,No,1049.1891554873132,7,Under-Burdened,3,0,Medium Volume,Low Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,63404.333333333336,52.0,1956.3333333333333,No,No,1219.3138680806665,5,Normal,3,0,High Volume,Medium Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,50722.333333333336,32.0,1680.0,No,No,1585.072421331535,5,Normal,2,0,High Volume,Medium Strain
Investor Owned,Urban,Non-Teaching,Active COVID-19,16929.333333333332,12.0,591.6666666666666,No,No,1410.7766021306093,3,Normal,4,0,Low Volume,Medium Strain
Nonprofit,Urban,Non-Teaching,Active COVID-19,63958.666666666664,36.0,2519.6666666666665,No,No,1776.629136121536,4,Overburdened,3,0,High Volume,High Strain
Nonprofit,Rural,Non-Teaching,Active COVID-19,16776.666666666668,12.0,405.0,Yes,Yes,1398.0543905102302,3,Normal,1,0,Low Volume,Medium Strain
Nonprofit,Rural,Non-Teaching,Active COVID-19,55450.333333333336,59.0,1746.0,Yes,Yes,939.8359988978533,6,Under-Burdened,0,1,High Volume,Low Strain
Investor Owned,Rural,Non-Teaching,Active COVID-19,7588.5,9.0,266.0,Yes,Yes,843.1657298158558,3,Under-Burdened,1,0,Low Volume,Low Strain
Nonprofit,Urban,Teaching,Active COVID-19,80788.66666666667,73.0,2195.6666666666665,Yes,No,1106.693912325035,7,Normal,0,0,High Volume,Low Strain
