Tot_ED_NmbVsts,EDStations,Visits_Per_Station,LICENSED_BED_SIZE,Category,HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,PrimaryCareShortageArea,MentalHealthShortageArea,Overburdened,Overburden_Prob
13261.0,12.0,1105.082412431323,100-149,Active COVID-19,Government,Urban,Non-Teaching,No,No,0,0.01
29420.666666666668,22.0,1337.302422438293,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.07270135355022304
30782.5,40.0,769.562307609423,150-199,Active COVID-19,Nonprofit,Urban,Teaching,No,No,0,0.0033333333333333335
65082.0,59.0,1103.0845587992274,200-299,Active COVID-19,Government,Urban,Non-Teaching,No,No,0,0.006666666666666667
29479.0,30.0,982.633005788998,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.5554710143607993
42180.666666666664,39.0,1081.5552782336893,300-499,Active COVID-19,Government,Urban,Non-Teaching,No,No,0,0.006666666666666667
28620.0,17.0,1683.5284214538697,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.01
37801.333333333336,18.0,2100.0729073669036,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.9433198631569514
31745.0,22.0,1442.9538895664139,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.1182888709717451
110997.0,80.0,1387.4623265672092,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
66977.0,40.0,1674.4245813938546,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.006666666666666667
24025.0,14.0,1716.070202806998,50-99,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,No,0,0.03
9708.5,5.0,1941.696116607767,100-149,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,1,0.9366666666666666
8570.0,14.0,612.1424198982716,100-149,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.44333333333333336
55911.0,49.0,1141.0405834611054,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.0
10039.0,8.0,1254.8734314082108,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.4987496400645955
41025.0,30.0,1367.4995441668186,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.13666666666666666
46164.333333333336,44.0,1049.1891554873132,500+,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.002490670249290939
63404.333333333336,52.0,1219.3138680806665,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
50722.333333333336,32.0,1585.072421331535,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.006184373531547696
16929.333333333332,12.0,1410.7766021306093,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.043333333333333335
63958.666666666664,36.0,1776.629136121536,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.8233333333333334
16776.666666666668,12.0,1398.0543905102302,100-149,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.43
55450.333333333336,59.0,939.8359988978533,300-499,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.03333333333333333
7588.5,9.0,843.1657298158558,100-149,Active COVID-19,Investor Owned,Rural,Non-Teaching,Yes,Yes,0,0.03666666666666667
80788.66666666667,73.0,1106.693912325035,500+,Active COVID-19,Nonprofit,Urban,Teaching,Yes,No,0,0.0033333333333333335
35672.666666666664,10.0,3567.263099403567,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,1,0.9447079476688695
57338.0,48.0,1194.5414178038711,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.01
47511.333333333336,21.0,2262.4433670904605,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,1,0.99
5907.0,4.333333333333333,1363.1507004214607,1-49,Active COVID-19,Investor Owned,Frontier,Non-Teaching,Yes,Yes,0,0.0033333333333333335
10314.0,8.0,1289.2483884395144,1-49,Active COVID-19,Investor Owned,Rural,Non-Teaching,Yes,Yes,0,0.0016542732500495734
28371.0,20.0,1418.5492907253547,100-149,Active COVID-19,Investor Owned,Rural,Non-Teaching,Yes,Yes,0,0.02666666666666667
39829.0,16.0,2489.31094418066,100-149,Active COVID-19,Government,Rural,Non-Teaching,Yes,Yes,1,0.9566666666666667
7991.666666666667,7.666666666666667,1042.3899447087679,1-49,Active COVID-19,Government,Rural,Non-Teaching,No,No,0,0.016666666666666666
1610.0,2.0,804.9959750201249,1-49,Active COVID-19,Government,Frontier,Non-Teaching,Yes,No,0,0.0
28485.0,10.0,2848.4971515028487,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,Yes,Yes,1,0.99
6546.333333333333,8.0,818.290643803362,100-149,Active COVID-19,Government,Frontier,Non-Teaching,Yes,Yes,0,0.006666666666666667
64106.0,42.666666666666664,1502.484022855307,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.013333333333333334
15535.666666666666,12.0,1294.6378100240472,50-99,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.16
20035.333333333332,13.0,1541.1783016577167,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.02
88985.33333333333,40.666666666666664,2188.163396353263,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,Yes,Yes,1,0.97
18720.666666666668,8.0,2340.080408232823,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,1,0.4987496400645955
18771.0,12.0,1564.2486964594198,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.02
10002.666666666666,8.0,1250.3317704186202,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.4987496400645955
14433.0,8.0,1804.122744846569,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,1,0.004571736064722037
102466.66666666667,42.666666666666664,2401.561937133921,300-499,Active COVID-19,Government,Urban,Non-Teaching,No,Yes,1,0.9266666666666666
36011.0,26.0,1385.0379288315658,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.02666666666666667
12317.0,17.0,724.528985571185,300-499,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.09281342819644954
57101.0,35.0,1631.4566767266635,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.2682920581880158
34882.0,50.5,690.7325364886066,300-499,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,No,0,0.0033333333333333335
65446.0,41.0,1596.2435131113382,300-499,Active COVID-19,Nonprofit,Urban,Teaching,Yes,No,0,0.002719863069524819
29986.333333333332,14.0,2141.879422467079,50-99,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,1,0.98
3751.5,4.0,937.8726553183618,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,Yes,0,0.013333333333333334
20267.0,12.0,1688.915259237284,200-299,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.09
33361.5,14.0,2382.9625835981547,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,1,0.9266666666666666
46487.666666666664,30.666666666666668,1515.9016795972782,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.19271986306952482
9859.5,8.0,1232.4359594550508,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,Yes,0,0.02666666666666667
6710.333333333333,9.0,745.591764157299,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.006666666666666667
16033.333333333334,21.0,763.4916999245874,200-299,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.01
39767.5,37.0,1074.7970068116197,500+,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.02666666666666667
18635.5,9.0,2070.608810434655,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,No,1,0.9066666666666666
79359.66666666667,32.0,2479.9888083368305,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.618722799838865
68964.66666666667,30.0,2298.8214559484036,500+,Active COVID-19,Nonprofit,Urban,Non-Teaching,Yes,No,1,0.9733333333333334
53635.333333333336,57.0,940.9705951513575,300-499,Active COVID-19,Nonprofit,Urban,Teaching,Yes,No,0,0.0
62426.5,49.5,1261.1411593654223,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,Yes,No,0,0.013333333333333334
61938.666666666664,41.0,1510.6988185287432,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0033333333333333335
79005.0,53.0,1490.6600961018685,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.2771084816198576
40703.0,29.0,1403.5512401547448,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.006666666666666667
32344.666666666668,18.0,1796.9249276342996,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.9433198631569514
36378.0,15.0,2425.198383201078,200-299,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,1,0.81
29577.0,10.666666666666666,2772.841150461422,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,No,1,0.4533333333333333
72059.5,64.0,1125.9295115735138,300-499,Active COVID-19,Nonprofit,Urban,Teaching,No,No,0,0.006666666666666667
35037.666666666664,29.0,1208.19498567989,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.006666666666666667
16074.666666666666,5.666666666666667,2836.700876410218,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,1,0.5666666666666667
54946.0,55.5,990.0178396364253,500+,Active COVID-19,Nonprofit,Urban,Teaching,No,No,0,0.01
47234.0,37.0,1276.5942495691215,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.14724068054701858
4946.5,4.0,1236.621908445229,50-99,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.016666666666666666
6297.5,7.0,899.6415719406116,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.0
77714.0,71.0,1094.5632261178555,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.013333333333333334
57211.0,61.0,937.8850921499849,500+,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.01
12230.666666666666,8.0,1528.8314222940555,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.004571736064722037
32363.666666666668,15.333333333333334,2110.672536517911,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.8
31796.5,21.0,1514.1183266103208,200-299,Active COVID-19,Government,Urban,Non-Teaching,No,No,0,0.06
6826.0,7.0,975.1414640836227,200-299,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,No,0,0.0033333333333333335
18475.333333333332,12.0,1539.609828102921,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.006666666666666667
46827.333333333336,41.333333333333336,1132.9190807453836,300-499,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,Yes,0,0.013333333333333334
23936.333333333332,27.0,886.530535852888,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0033333333333333335
50359.333333333336,40.0,1258.9830185875787,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.4737946311354338
9195.333333333334,8.0,1149.4152298976294,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.004571736064722037
43418.0,32.0,1356.8120759962262,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.618722799838865
21073.5,13.0,1621.037214586758,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.013333333333333334
46270.0,30.0,1542.3328192223937,200-299,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.0
49428.0,28.0,1765.285083826756,300-499,Active COVID-19,Nonprofit,Urban,Teaching,No,No,1,0.6066666666666667
23054.5,13.0,1773.4217127525287,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,1,0.9166666666666666
52035.666666666664,30.0,1734.5216440483407,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.5554710143607993
73969.0,72.66666666666667,1017.9218782676313,300-499,Active COVID-19,Government,Urban,Teaching,Yes,No,0,0.0
105955.5,80.5,1316.2172277991021,500+,Active COVID-19,Government,Urban,Teaching,No,No,0,0.0
99493.0,29.0,3430.791920416579,100-149,Active COVID-19,Nonprofit,Urban,Teaching,Yes,Yes,1,0.9966666666666667
50463.666666666664,50.666666666666664,995.9932244750214,300-499,Active COVID-19,Government,Urban,Teaching,No,No,0,0.0
40780.666666666664,37.333333333333336,1092.3389931234838,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.15666666666666668
67262.0,33.0,2038.2418065933919,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,Yes,No,1,0.8333333333333334
92182.33333333333,80.0,1152.2790226317886,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
64397.333333333336,35.0,1839.9232838314426,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,Yes,1,0.9366666666666666
77745.33333333333,38.0,2045.9292861589595,300-499,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,1,0.93
27449.0,19.0,1444.683450166605,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.5720448498577841
29936.333333333332,31.0,965.6878605307977,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.6230595905579425
14621.0,9.0,1624.553750495833,1-49,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.026184373531547695
6284.0,3.6666666666666665,1713.8135077813424,1-49,Active COVID-19,Government,Rural,Non-Teaching,Yes,Yes,0,0.0
9094.0,6.0,1515.6641405597659,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.08119507963167703
28163.666666666668,19.0,1482.2974654574743,50-99,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.03
13366.0,9.0,1485.1094609894878,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,0,0.18829558999435658
25567.333333333332,10.0,2556.7307766025565,1-49,Active COVID-19,Nonprofit,Rural,Non-Teaching,Yes,Yes,1,0.9447079476688695
57461.0,26.0,2210.0376115239956,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,Yes,Yes,1,0.9833333333333333
511.0,1.0,510.99489005109945,1-49,Active COVID-19,Government,Frontier,Non-Teaching,Yes,Yes,0,0.0
41278.666666666664,30.666666666666668,1346.0430393337915,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
14553.0,6.0,2425.495957506738,50-99,Active COVID-19,Nonprofit,Rural,Non-Teaching,No,Yes,1,0.92
50028.333333333336,16.0,3126.768879102784,200-299,Active COVID-19,Government,Urban,Non-Teaching,Yes,Yes,1,0.9566666666666667
51527.5,19.0,2711.972256856707,150-199,Active COVID-19,Government,Urban,Non-Teaching,Yes,Yes,1,0.9333333333333333
24487.0,18.0,1360.3881331177038,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.04
6034.5,8.0,754.3115571105536,100-149,Active COVID-19,Nonprofit,Rural,Non-Teaching,No,No,0,0.006666666666666667
12749.5,15.0,849.9661000226,50-99,Active COVID-19,Government,Rural,Non-Teaching,Yes,Yes,0,0.03
92289.0,35.666666666666664,2587.5413305958887,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.7920597138565809
27767.5,26.0,1067.9803584690928,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
23505.0,30.0,783.4997388334205,200-299,Active COVID-19,Investor Owned,Urban,Teaching,No,Yes,0,0.0033333333333333335
5063.0,8.0,632.8742089072389,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.004571736064722037
12153.0,11.0,1104.8171774389295,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,0,0.03666666666666667
100965.66666666667,80.5,1254.2317282527874,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
11960.0,12.0,996.6658361118033,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.043333333333333335
11887.333333333334,11.0,1080.6656842433174,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.006666666666666667
25199.5,23.0,1095.6299584217572,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.02
11411.0,10.0,1141.098858901141,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,No,0,0.02
34495.5,44.5,775.1796010832356,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.04845035358305273
42020.0,50.666666666666664,829.3419415772483,300-499,Active COVID-19,Government,Urban,Teaching,Yes,No,0,0.0
19240.0,12.0,1603.3319972233357,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,No,0,0.04
27262.5,31.0,879.4352001821935,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
14340.0,20.0,716.9996415001792,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.016666666666666666
